final_fc_width,num_conv_layers,learningRate,accuracy
8,1,0.001,0.947
8,1,0.005,0.988
8,1,0.01,0.979
8,1,0.1,0.97
8,2,0.001,0.997
8,2,0.005,0.997
8,2,0.01,0.993
8,2,0.1,0.499
8,3,0.001,0.989
8,3,0.005,0.995
8,3,0.01,0.499
8,3,0.1,0.664
8,4,0.001,0.993
8,4,0.005,0.988
8,4,0.01,0.992
8,4,0.1,0.499
8,5,0.001,0.984
8,5,0.005,0.499
8,5,0.01,0.994
8,5,0.1,0.501
16,1,0.001,0.838
16,1,0.005,0.941
16,1,0.01,0.499
16,1,0.1,0.904
16,2,0.001,0.997
16,2,0.005,0.998
16,2,0.01,0.998
16,2,0.1,0.499
16,3,0.001,0.993
16,3,0.005,0.993
16,3,0.01,0.995
16,3,0.1,0.499
16,4,0.001,0.992
16,4,0.005,0.985
16,4,0.01,0.983
16,4,0.1,0.499
16,5,0.001,0.992
16,5,0.005,0.995
16,5,0.01,0.995
16,5,0.1,0.499
32,1,0.001,0.963
32,1,0.005,0.986
32,1,0.01,0.863
32,1,0.1,0.927
32,2,0.001,0.995
32,2,0.005,0.99
32,2,0.01,0.997
32,2,0.1,0.972
32,3,0.001,0.995
32,3,0.005,0.991
32,3,0.01,0.994
32,3,0.1,0.499
32,4,0.001,0.989
32,4,0.005,0.992
32,4,0.01,0.99
32,4,0.1,0.499
32,5,0.001,0.98
32,5,0.005,0.989
32,5,0.01,0.992
32,5,0.1,0.499
64,1,0.001,0.96
64,1,0.005,0.973
64,1,0.01,0.931
64,1,0.1,0.501
64,2,0.001,0.993
64,2,0.005,0.995
64,2,0.01,0.995
64,2,0.1,0.499
64,3,0.001,0.996
64,3,0.005,0.989
64,3,0.01,0.995
64,3,0.1,0.499
64,4,0.001,0.99
64,4,0.005,0.993
64,4,0.01,0.988
64,4,0.1,0.499
64,5,0.001,0.991
64,5,0.005,0.993
64,5,0.01,0.989
64,5,0.1,0.499
